CANTOR;TÍTULO;INÍCIO DA LETRA
365;SÃO PAULO;Tem dias que eu digo não….
10 cc;I'M NOT IN LOVE;I'm not in love so don't forget it
14 Bis;BOLA DE MEIA BOLA DE GUDE;Há um menino há um moleque
14 Bis;LINDA JUVENTUDE;Zabelê, zumbi, besouro vespa fabricando
14 Bis;NATURAL;Penso em você no seu jeito de falar
14 Bis;PLANETA SONHO;Aqui ninguém mais ficará depois do sol...
14 Bis;ROMANCE;Flores simples
14 Bis;TODO AZUL DO MAR;Foi assim como ver o mar ...
14 Bis;UMA VELHA CANÇÃO ROCK'N'ROLL;Olhe oh oh oh venha solte seu corpo n
3 Doors Down;HERE WITHOUT YOU;A hundred days had made me older
4 Non Blondes;SPACEMAN;Starry night bring me down
4 Non Blondes;WHAT'S UP;Twenty-five years and my life is still
A Banda Mais Bonita da Cidade;ORAÇÃO;Meu amor essa é a última oração
A Cor do Som;ABRI A PORTA;Abri a porta apareci...
A Cor do Som;MENINO DEUS;Menino Deus um corpo azul-dourado
A Cor do Som;ZANZIBAR;No azul de Jezebel no céu de Calcutá
A Teens;MAMMA MIA;I've being cheated by you since I don't
A Teens;SUPER TROUPER;Super trouper beams are gonna blind me
A Turma da Mônica;SER CRIANÇA É BOM;Ser criança é bom ser criança faz bem...
A Vigília;ESTAMOS AQUI;Estamos aqui na casa de Deus...
A Vigília;JEOVÁ É O TEU CAVALEIRO;Jeová é o teu cavaleiro que...
A Vigília;JESUS TE ENTRONIZAMOS;Jesus nesta noite...
A Vigília;RENOVA-ME;Renova-me Senhor Jesus já não quero...
A Zorra;A COR DA ESPERANÇA;Sei
A-Ha;TAKE ON ME;We're talking away
Abba;CHIQUITITA;Chiquitita tell me what's wrong
Abba;DANCING QUEEN;Yeah! You can dance you can jive
Abba;I HAVE A DREAM;I have a dream a song to sing…
Abba;MAMMA MIA;I've been cheated by you since I don't
Abba;THE WINNER TAKES IT ALL;I don’t wanna talk...
Abelhudos;AS CRIANÇAS E OS ANIMAIS;Ê ô ê ô
Abilio Farias;O GENRO ODIADO;Desculpa mulher resolvi mil desculpas pedir
Abílio Farias;CORAÇÃO INDECISO;Um coração indeciso busquei no céu um
Abílio Farias;VOU FECHAR O CABARÉ;Esperei tanto
Absyntho;SÓ A LUA;Lembro que ela disse meio triste...
AC-DC;BACK IN BLACK;Back in black I hit the sack
AC-DC;HIGHWAY TO HELL;Livin' easy lovin' free
Ace of Base;ALL THAT SHE WANTS;She leads a lonely life
Ace of Base;HAPPY NATION;Laudate omnes gentes laudate...
Adair Cardoso;QUE SE DANE O MUNDO;E que se dane o mundo e que se dane
Adalberto e Adriano;SEPARAÇÃO;Qual terá sido o motivo da nossa
Adele;CHASING PAVEMENTS;I've made up my mind
Adele;ROLLING IN THE DEEP;There's a fire starting in my heart
Adele;SET FIRE TO THE RAIN;I let it fall my heart and as I fell
Adele;SOMEONE LIKE YOU;I heard that you're settled down
Adílson Ramos;SONHAR CONTIGO;Sonhar contigo por toda vida…
Adoniran Barbosa;AS MARIPOSAS;As mariposa quando chega o frio
Adoração e Adoradores;FAZ CHOVER;Assim como a corsa anseia por águas
Adoração e Adoradores;VIM PARA ADORAR-TE;Luz do mundo vieste à terra
Adriana;I LOVE YOU BABY;Difícil é viver sem teu amor
Adriana Calcanhoto;CANÇÃO DE NOVELA;Toalha molhada
Adriana Calcanhoto;DEVOLVA-ME;Rasgue as minhas cartas.............
Adriana Calcanhoto;ESQUADROS;Eu ando pelo mundo prestando atenção
Adriana Calcanhoto;FICO ASSIM SEM VOCÊ;Avião sem asa fogueira sem brasa
Adriana Calcanhoto;JUSTO AGORA;Eu ouvi dizer que você assim…
Adriana Calcanhoto;MAIS FELIZ;O nosso amor não vai parar
Adriana Calcanhoto;MARESIA;Meu amor me deixou levou minha identi
Adriana Calcanhoto;MENTIRAS;Nada ficou no lugar
Adriana Calcanhoto;METADE;Eu perco o chão
Adriana Calcanhoto;MULHER SEM RAZÃO;Saia dessa vida de migalhas
Adriana Calcanhoto;NAQUELA ESTAÇÃO;Você entrou no trem
Adriana Calcanhoto;OUTRA VEZ;Outra vez sem você outra vez sem amor
Adriana Calcanhoto;PELOS ARES;Não lhe peço nada
Adriana Calcanhoto;SEU PENSAMENTO;A uma hora dessas
Adriana Calcanhoto;VAMBORA;Entre por essa porta agora
Adryana e a Rapaziada;AMOR PRA VALER;Já faz tanto tempo não consigo........
Adryana e a Rapaziada;EU TE AMO (AND I LOVE HER);Foi tanto que eu te amei e eu não sabia...
Adryana e a Rapaziada;FIM DE NOITE;Você nunca vai me ver sofrer...
Adryana e a Rapaziada;SÓ FALTAVA VOCÊ;Sò faltava você...
Adryana e a Rapaziada;TUDO PASSA;Tudo na vida passa tudo na vida...
Adryana Ribeiro;E AGORA?;E agora como é que eu vou ficar
Adryana Ribeiro;SAUDADE VEM;O que é que você foi fazer comigo
Aerosmith;AMAZING;I get the right ones out...
Aerosmith;CRAZY;Come here baby
Aerosmith;I DON'T WANT TO MISS A THING;I could stay awake just to hear you brea
Afrodisíaco;JA É;Ôh ôh ôh ôh ôh ôh incendeia
Afrodite se Quiser;O QUE QUE ELA TEM QUE EU NÃO TENHO;Não adianta
Agepê;DE AMOR É BOM;Um lindo canto com um gosto de viver
Agepê;DE TODAS AS FORMAS;Me dê a posse do teu corpo
Agepê;DEIXA EU TE AMAR;Quero ir na fonte do teu ser…
Agepê;LÁ VEM O TREM;Lá vem o trem no passo que o vento vem
Agepê;ME LEVA;Tudo nasceu de brincadeira
Agepê;MENINA DE CABELOS LONGOS;Ê ê ê... menina de cabelos longos…
Agepê;MOÇA CRIANÇA;O seu andar tem jeito de moça
CANTOR;TÍTULO;INÍCIO DA LETRA
Agepê;NINGUEM FAZ AMOR COMO VOCÊ;Se eu perdi a hora não se zangue comi
Agepê;MORO ONDE NÃO MORA NINGUÉM;Moro, onde não mora ninguém...
Agnaldo Rayol;A PRAIA;Em plena praia no céu azul brilhava o sol
Agnaldo Rayol;AMIGOS PARA SEMPRE;Eu não tenho nada pra dizer
Agnaldo Rayol;AVE MARIA NO MORRO;Barracão de zinco...
Agnaldo Rayol;O PRINCÍPIO E O FIM;A minha vida em carinhos...
Agnaldo Rayol;SANTA LUCIA;Sul mare luccica l'astro d'argento
Agnaldo Rayol e Charlotte Church;TORMENTO D'AMORE;Martirio tormento d'amore
Agnaldo Timóteo;A CASA DE IRENE;Os dias tristes
Agnaldo Timóteo;A CASA DO SOL NASCENTE;A casa dos meus sonhos é feita de ilu
Agnaldo Timóteo;A GALERIA DO AMOR;Numa noite de insônia saí
Agnaldo Timóteo;A NOIVA;Ave Maria… Branca e radiante…
Agnaldo Timóteo;LIVRE;Livre nasci como a brisa
Agnaldo Timóteo;MAMÃE ESTOU TÃO FELIZ;Mamãe estou tão feliz porque voltei
Agnaldo Timóteo;MEU GRITO;Se eu demoro mais aqui eu vou morrer...
Agnaldo Timóteo;NÃO MEREÇO VOCÊ;Não mereço você sei que vou me…
Agnaldo Timóteo;OS BRUTOS TAMBÉM AMAM;Você jamais vai entender o amor que…
Agnaldo Timóteo;OS VERDES CAMPOS DA MINHA TERRA;Se algum dia à minha terra eu voltar…
Agnaldo Timóteo;QUEM É;Quem é que não sofre por alguém...
Agnela;PODIA SER;Não sei porque você não quis ligar
Agostinho dos Santos;A FELICIDADE;Tristeza não tem fim felicidade...
Agostinho dos Santos;AQUELES OLHOS VERDES;Aqueles olhos verdes translúcidos ser
Agostinho dos Santos;MANHÃ DE CARNAVAL;Manhã tão bonita manhã
Agridoce (Pitty);DANÇANDO;Eu sei que lá no fundo
Air Supply;ALL OUT OF LOVE;I'm lying alone...
Air Supply;EVEN THE NIGHTS ARE BETTER;I I was the lonely one…
Air Supply;HERE I AM;Here I am
Air Supply;LOST IN LOVE;I realize the best part of love
Air Supply;THE ONE THAT YOU LOVE;Now the night has gone…
Akundum;EMACONHADA;Kaya erva danada Kaya erva danada
Al Jarreau;MORNIN';Mornin' mister Radio
Al Jarreau;WE'RE IN THIS LOVE TOGETHER;It's like a diamond ring it's a precious…
Al Martino;LOVE IS BLUE;Blue blue my world is blue
Al Stewart;YEAR OF THE CAT;On a morning from a Bogart movie...
Alan Jackson;EVERYTHING I LOVE;Coffee keeps me up and I can't sleep
Alan Jackson;I'LL TRY;Here we are talkin' bout forever
Alan Jackson;LIVIN' ON LOVE;Two young people without a thing
Alan Jackson;MIDNIGHT IN MONTGOMERY;Midnight in Montgomery silver eagle…
Alan Parson's Project;EYE IN THE SKY;Don't think sorry's easily said
Alan Parson's Project;TIME;Time flowin' like a river…
Alanis Morissette;IRONIC;Hey yeah yeah yeah Oh oh, oh yeah
Alanis Morissette;THAT I WOULD BE GOOD;That I would be good even if I did not
Alanis Morissette;YOU LEARN;Oooh, oooh-do, do
Alanis Morissette;YOU OUGHTA KNOW;I want you to know that I'm happy for y
Alannah Myles;BLACK VELVET;Mississippi in the middle of the dry s
Albert Hammond;FOR THE PEACE OF ALL MANKIND;You turn me on so bad that there
Albert Hammond;IT NEVER RAINS IN SOUTHERN CALIFORNIA;Got on a board a west bound seven forty…
Alceu Valença;ANUNCIAÇÃO;Na bruma leve das paixões
